index,salary,occupation,industry,location,url
0,165000,Part-Time Attorney,Law,"Central Valley, CA",https://www.refinery29.com/money-diary-central-valley-california-part-time-attorney-salary
1,39500,Key Account Specialist,Apparel Manufacturing & Marketing,"Vancouver, BC",https://www.refinery29.com/money-diary-vancouver-bc-key-account-specialist-salary
2,47000,Communication Specialist,Higher Education,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-communication-specialist-salary
3,70000,Programmer,Tech,New York City,https://www.refinery29.com/money-diary-new-york-ny-programmer-salary
4,32780,Assistant Language Teacher,Education,"Niigata, Japan",https://www.refinery29.com/money-diary-niigata-japan-assistant-language-teacher-salary
5,112500,Human Resources Manager,Pharmaceuticals,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-human-resources-manager-salary
6,37000,Associate Clinical Research Coordinator,Health Care,"New Orleans, LA",https://www.refinery29.com/money-diary-new-orleans-la-associate-clinical-research-coordinator-salary
7,55000,Office Manager,Architecture,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-office-manager-salary
8,43500,Environmental Specialist,Government,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-washington-environmental-specialist-salary
9,148000,Business Analyst,Staffing,"Houston, TX",https://www.refinery29.com/money-diary-houston-tx-business-analyst-salary
10,54000,Analyst,Market Research,New York City,https://www.refinery29.com/money-diary-new-york-ny-analyst-salary
11,92000,Analyst,Tech,"Mexico City, Mexico",https://www.refinery29.com/money-diary-mexico-city-mexico-analyst-salary
12,50000,Education Program Specialist,Education Policy,Wyoming,https://www.refinery29.com/money-diary-wyoming-education-program-specialist-salary
13,260000,Software Engineer,Technology,"Berkeley, CA",https://www.refinery29.com/money-diary-berkeley-ca-software-engineer-salary
14,60093,Office Manager,Investment,"Munich, Germany",https://www.refinery29.com/money-diary-munich-office-manager-salary
15,56084,Health Promotion Officer,Public Health,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-health-promotion-officer-salary
16,85000,Analyst,Consulting,New York City,https://www.refinery29.com/money-diary-new-york-city-analyst-salary
17,96925,Police Call Taker,Emergency Services,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-police-call-taker-salary
18,44000,Program Associate,Nonprofit,"Baltimore, MD",https://www.refinery29.com/money-diary-baltimore-program-associate-salary
19,55000,Paralegal,Law,"Atlanta, GA",https://www.refinery29.com/money-diary-atlanta-ga-paralegal-salary
20,46000,Marketing Coordinator,Food and Beverage,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-marketing-coordinator-salary
21,45000,Social Media Assistant,Auctions,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-tx-social-media-assistant-salary
22,52000,Graphic Design & Marketing,Weddings,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-wa-graphic-design-marketing-salary
23,17700,AmeriCorps Member,Nonprofit Education,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-americorps-member-salary
24,180000,Entrepreneur,Network Marketing,Alaska,https://www.refinery29.com/money-diary-alaska-entrepreneur-salary
25,41000,English Teacher,Education,"Grand Rapids, MI",https://www.refinery29.com/money-diary-grand-rapids-michigan-english-teacher-salary
26,57000,Analyst,Nonprofit,Indiana,https://www.refinery29.com/money-diary-indiana-analyst-salary
27,260000,Associate,Law,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-ca-associate-salary
28,190371,Finance Manager,Transportation,"Fort Worth, TX",https://www.refinery29.com/money-diary-fort-worth-tx-finance-manager-salary
29,244000,Marketing Communications Manager,Nonprofit,"Essex County, MA",https://www.refinery29.com/money-diary-essex-county-ma-marketing-communications-manager-salary
30,84000,Interior Designer,Commercial Interior Design,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-interior-designer-salary
31,60000,Managing Editor,Digital Media,"Montreal, Canada",https://www.refinery29.com/money-diary-montreal-canada-managing-editor-salary
32,18000,Master's Student/Researcher,Software Engineering,"South Tyrol, Italy",https://www.refinery29.com/money-diary-south-tyrol-italy-researcher-salary
33,41000,Pediatric Nurse,Public Hospital,"Toulouse, France",https://www.refinery29.com/money-diary-toulouse-pediatric-nurse-salary
34,91972,Assistant Surgeon & Full-Time PhD Student,Medicine,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-doctor-salary
35,77088,Partner Manager,Tech,Singapore,https://www.refinery29.com/money-diary-singapore-partner-manager-salary
36,114500,Gameplay Engineer,Video Games,"San Francisco, CA",https://www.refinery29.com/money-diary-san-francisco-bay-area-gameplay-engineer-salary
37,32084,Project Coordinator,Fashion,New York City,https://www.refinery29.com/money-diary-new-york-city-project-coordinator-salary
38,38000,Copywriter,Marketing,"Detroit, MI",https://www.refinery29.com/money-diary-detroit-michigan-copywriter-salary
39,111000,Administrator,Office Technology,"Buffalo, NY",https://www.refinery29.com/money-diary-buffalo-ny-adminsales-support-salary
40,115000,Attorney,Law,"Birmingham, AL",https://www.refinery29.com/money-diary-alabama-attorney-salary
41,125000,Project Manager,Real Estate,"San Francisco, CA",https://www.refinery29.com/money-diary-san-francisco-project-manager-salary
42,32800,Lead Toddler Teacher,Early Education,"Cambridge, MA",https://www.refinery29.com/money-diary-cambridge-ma-lead-toddler-teacher-salary
43,66000,Analyst,Consulting,"Arlington, VA",https://www.refinery29.com/money-diary-arlington-va-analyst-salary
44,44000,Marketing Associate,Nonprofit,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-marketing-and-communications-associate-salary
45,56100,Digital Strategist,Journalism,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-digital-strategist-salary
46,68888,Human Resources Business Partner,Telecommunications,"Minneapolis, MN",https://www.refinery29.com/money-diary-minneapolis-mn-human-resources-business-partner-salary
47,38500,Case Manager,Nonprofit,"Spartanburg, SC",https://www.refinery29.com/money-diary-spartanburg-sc-case-manager-salary
48,180000,Associate,Law,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-associate-salary
49,35000,Program Coordinator,Nonprofit Legal Services,New Jersey,https://www.refinery29.com/money-diary-new-jersey-coordinator-salary
50,41500,Program Coordinator,Government,"Scottsdale, AZ",https://www.refinery29.com/money-diary-scottsdale-az-program-coordinator-salary
51,59000,Research Analyst,Nonprofit,"Queens, NY",https://www.refinery29.com/money-diary-astoria-new-york-research-analyst-salary
52,50000,HR Manager,Sports & Entertainment,"Portland, OR",https://www.refinery29.com/money-diary-portland-or-human-resources-manager-salary
53,42000,Policy Analyst,Government,"Tallahassee, FL",https://www.refinery29.com/money-diary-tallahassee-fl-policy-analyst-salary
54,39728,Web Content Coordinator,E-Commerce,"Wilmington, DE",https://www.refinery29.com/money-diary-wilmington-de-web-content-coordinator-salary
55,90000,Head of Development,Film & Television,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-head-of-development-salary
56,62000,Graphic Designer,Real Estate,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-graphic-designer-salary
57,40000,Assistant,Think Tank,"Washington, D.C.",https://www.refinery29.com/money-diary-washington-dc-staff-assistant-salary
58,18,Patient Care Technician,Healthcare,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-patient-care-technician-salary
59,115000,Entrepreneur,Hospitality,New York City,https://www.refinery29.com/money-diary-new-york-ny-entrepreneur-salary
60,65000,Clinical Project Manager,Pharmaceuticals,"Hamburg, Germany",https://www.refinery29.com/money-diary-hamburg-clinical-project-manager-salary
61,92000,Project Manager,Urban Development,"Bentonville, AR",https://www.refinery29.com/money-diary-bentonville-ar-project-manager-managing-director-salary
62,50000,Gaming Analyst,Casino/Entertainment,"Las Vegas, NV",https://www.refinery29.com/money-diary-las-vegas-nv-gaming-analyst-salary
63,260000,Materials Engineer,Government,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-ca-materials-engineer-salary
64,55000,Media Strategist,Public Relations,"Hoboken, NJ",https://www.refinery29.com/money-diary-hoboken-nj-media-strategist-salary
65,85000,Vice President,Real Estate Company,"Las Vegas, NV",https://www.refinery29.com/money-diary-las-vegas-vice-president-salary
66,52000,Social Worker,Nonprofit,New York City,https://www.refinery29.com/money-diary-new-york-ny-social-worker-salary
67,36960,Social Studies Teacher,Education,"Dubai, United Arab Emirates",https://www.refinery29.com/money-diary-dubai-united-arab-emirates-social-studies-teacher-salary
68,919216,Consultant,Finance,Singapore,https://www.refinery29.com/money-diary-singapore-consultant-salary
69,65000,Sales Manager,Medical Device Manufacturing,"Boise, ID",https://www.refinery29.com/money-diary-boise-id-sales-manager-salary
70,27000,Children's Librarian,Public Library,"Cleveland, OH",https://www.refinery29.com/money-diary-cleveland-oh-childrens-librarian-salary
71,68250,Associate Marketer,Marketing,"Charlotte, NC",https://www.refinery29.com/money-diary-charlotte-north-carolina-associate-salary
72,75000,Project Director,Substance Abuse Treatment,"Long Beach, CA",https://www.refinery29.com/money-diary-long-beach-project-director-salary
73,48630,Structural Engineer,Consulting,Singapore,https://www.refinery29.com/money-diary-singapore-structural-engineer-salary
74,37800,Assistant,IT,"Phoenix, AZ",https://www.refinery29.com/money-diary-phoenix-assistant-salary
75,94000,Registered Nurse,Health Care,New York City,https://www.refinery29.com/money-diary-new-york-city-registered-nurse-salary
76,43000,Office Manager,Distribution,"Portland, OR",https://www.refinery29.com/money-diary-portland-or-office-manager-salary
77,64760,Test Engineer,Aerospace,"Englewood, CO",https://www.refinery29.com/money-diary-englewood-colorado-engineer-salary
78,19000,Medical Student,Healthcare,"Tallahassee, FL",https://www.refinery29.com/money-diary-tallahassee-florida-medical-student-salary
79,122000,Engineer,Tech,"Mountain View, CA",https://www.refinery29.com/money-diary-mountain-view-ca-engineer-salary
80,180000,Safety Professional,Pharmaceutical Research & Development,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-safety-professional-joint-salary
81,29500,Research Technician,Biomedical Research,"Saint Louis, MO",https://www.refinery29.com/money-diary-saint-louis-mo-research-technician-salary
82,45000,Leasing Administrator,Real Estate,New York City,https://www.refinery29.com/money-diary-new-york-ny-leasing-administrator-salary
83,65000,Accountant,Finance,"Perth, Australia",https://www.refinery29.com/money-diary-perth-australia-accountant-salary
84,65400,IT Professional,Higher Education,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-wa-it-professional-salary
85,54500,Retirement Analyst,Human Resources,"Kenosha, WI",https://www.refinery29.com/money-diary-kenosha-wi-retirement-plans-analyst-salary
86,82000,Consultant,Healthcare IT,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-consultant-salary
87,66000,Project Writer,Data Management,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-tx-project-writer-salary
88,86825,Writer/Freelance Copywriter,Creative,London,https://www.refinery29.com/money-diary-london-freelance-copywriter-joint-salary
89,68000,Associate Fashion Designer,Fashion,New York City,https://www.refinery29.com/money-diary-new-york-associate-fashion-designer-salary
90,23150,Digital Account Manager,Advertising,"Cape Town, South Africa",https://www.refinery29.com/money-diary-cape-town-south-africa-digital-account-manager-salary
91,40000,Copywriter,Advertising,Massachusetts,https://www.refinery29.com/money-diary-massachusetts-copywriter-salary
92,62878,Media Relations Representative,Healthcare,"Baltimore, MD",https://www.refinery29.com/money-diary-baltimore-md-senior-media-relations-representative-salary
93,270000,Deputy Director,High Tech,"Silicon Valley, CA",https://www.refinery29.com/money-diary-silicon-valley-deputy-director-salary
94,36400,Stylist,Fashion Sales,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-stylist-salary
95,40000,SNAP (Food Stamps) Advocate,Non-Profit,"Somerville, MA",https://www.refinery29.com/money-diary-somerville-ma-food-stamps-advocate-salary
96,122500,Lawyer,Media,London,https://www.refinery29.com/money-diary-london-lawyer-salary
97,23000,ESL Teacher,Education,"Ulsan, South Korea",https://www.refinery29.com/money-diary-south-korea-english-teacher-salary
98,65000,Senior Executive Assistant,Automotive,"Detroit, MI",https://www.refinery29.com/money-diary-detroit-mi-senior-executive-assistant-salary
99,130000,Communications Manager,Nonprofit,"Glendale, CA",https://www.refinery29.com/money-diary-glendale-ca-communications-manager-salary
100,340000,Lawyer,Large Corporation,"Houston, TX",https://www.refinery29.com/money-diary-houston-tx-lawyer-salary
101,18,Front Of House Manager & Waitress,Hospitality,"Bucks County, PA",https://www.refinery29.com/money-diary-bucks-county-pennsylvania-waitress-front-of-house-manager-salary
102,67000,Service Coordinator,Government,New York City,https://www.refinery29.com/money-diary-new-york-ny-service-coordinator-salary
103,9,Student & After-School Teacher,Education,"Chattanooga, TN",https://www.refinery29.com/money-diary-chattanooga-tn-student-after-school-teacher-salary
104,24,Project Management Coordinator,Technology,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-wa-project-management-coordinator-salary
105,48659,Academic Program Manager,Higher Education,"Columbus, OH",https://www.refinery29.com/money-diary-columbus-oh-academic-program-manager-salary
106,97000,Executive Personal Assistant,Philanthropy,"Palo Alto, CA",https://www.refinery29.com/money-diary-palo-alto-ca-executive-personal-assistant-salary
107,81600,Policy Analyst,Higher Education Policy,"Arlington, VA",https://www.refinery29.com/money-diary-arlington-va-policy-analyst-salary
108,87193,Registered Nurse,Healthcare,Southern Connecticut,https://www.refinery29.com/money-diary-southern-connecticut-registered-nurse-salary
109,75000,Artist's Agent,Advertising,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-artists-agent-salary
110,52700,Environmental Scientist,Environment,"Columbus, OH",https://www.refinery29.com/money-diary-columbus-oh-environmental-scientist-salary
111,50000,Policy Aide,Government,"Denver, CO",https://www.refinery29.com/money-diary-denver-co-policy-aide-salary
112,60000,Web Writer,Finance & Accounting,"Bergen County, NJ",https://www.refinery29.com/money-diary-bergen-county-new-jersey-web-writer-salary
113,75000,Healthcare Professional,Medical Field,"San Francisco, CA",https://www.refinery29.com/money-diary-san-francisco-ca-healthcare-professional-salary
114,65000,IT Analyst,Pharmaceuticals,"Somerville, MA",https://www.refinery29.com/money-diary-somerville-ma-it-analyst-salary
115,80000,Executive Recruiter,Professional Services,"Austin, TX",https://www.refinery29.com/money-diary-austin-tx-senior-associate-executive-recruiter-salary
116,70000,Recruiting Director,Executive Staffing,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-new-york-city-recruiting-director-salary
117,52000,Behavioral Health Manager,Mental Healthcare,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-behavioral-health-manager-salary
118,51000,Program Manager,Nonprofit,"Worcester, MA",https://www.refinery29.com/money-diary-worcester-ma-program-manager-salary
119,18000,Freelance Graphic Designer,Design,"Missoula, MT",https://www.refinery29.com/money-diary-missoula-mt-freelance-graphic-designer-salary
120,71400,Project Engineer,Biomedical Engineering,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-project-engineer-salary
121,82400,Lead User Experience Designer,Product Design,Northern New Jersey,https://www.refinery29.com/money-diary-northern-new-jersey-lead-user-experience-designer-salary
122,165000,Freelance Copywriter & Part-Time Sales Associate,Creative & Retail,New York City,https://www.refinery29.com/money-diary-new-york-freelance-copywriter-part-time-sales-associate-salary
123,20800,Video Producer,Media & Advertising,Singapore,https://www.refinery29.com/money-diary-singapore-video-producer-salary
124,19100,Child Care Assistant,Nursery,"Marseille, France",https://www.refinery29.com/money-diary-marseille-child-care-assistant-salary
125,25000,Guest English Teacher,Education,"Daejeon, South Korea",https://www.refinery29.com/money-diary-daejeon-south-korea-guest-english-teacher-salary
126,112000,Product Manager,Tech,"San Jose, CA",https://www.refinery29.com/money-diary-san-jose-ca-product-manager-salary
127,59500,CMO,Software,Barcelona,https://www.refinery29.com/money-diary-barcelona-cmo-salary
128,150000,Corporate Innovation Manager,Management Consulting,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-new-york-corporate-innovation-manager-salary
129,80000,Assistant Manager,Beauty,"Paris, France",https://www.refinery29.com/money-diary-paris-fragrance-evaluator-salary
130,280000,Director,M&A,"London, England",https://www.refinery29.com/money-diary-london-england-director-salary
131,35,Portfolio Coordinator,Banking,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-portfolio-coordinator-salary
132,55000,Marketing Analyst,Hospitality,"Rockville, MD",https://www.refinery29.com/money-diary-rockville-maryland-salary
133,1,Managing Director,Hedge Fund,New York City,https://www.refinery29.com/money-diary-manhattan-ny-managing-director-salary
134,90000,Regulatory Affairs Manager,Biotech,"Somerville, MA",https://www.refinery29.com/money-diary-somerville-ma-regulatory-affairs-manager-salary
135,58614,GIS Analyst & Quality Control Coordinator,Utilities,"Fayetteville, AR",https://www.refinery29.com/money-diary-fayetteville-ar-analyst-quality-control-coordiantor-salary
136,130000,"Vice President, Student Affairs",Higher Education,"St. Paul, MN",https://www.refinery29.com/money-diary-st-paul-minnesota-vice-president-student-affairs-salary
137,450,"Multidisciplinary Freelancer. I work in the film industry, but my job changes depending on the day and scope of project. Sometimes I work as a production coordinator on national commercials. I got my start as a costume designer in independent film, and my bread and butter has recently been as a tailor and assistant stylist on commercial and editorial projects.",Film & Commercial,"Oakland, CA",https://www.refinery29.com/money-diary-oakland-ca-creative-freelancer-salary
138,77837,HR Advisor,Small Buisness,London,https://www.refinery29.com/money-diary-london-birmingham-hr-advisor-salary
139,55000,Copywriter,Advertising,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-copywriter-freelancer-salary
140,81000,Marketing Manager,Housewares,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-tx-marketing-manager-salary
141,60000,Recruiter,Staffing,"Minneapolis, MN",https://www.refinery29.com/money-diary-minneapolis-mn-recruiter-salary
142,63500,Land Use Planner,Municipal Government,"Denver, CO",https://www.refinery29.com/money-diary-denver-co-land-use-planner-salary
143,0,Content Marketing Manager,Tech,"San Jose, CA",https://www.refinery29.com/money-diary-san-jose-ca-content-marketing-manager-salary
144,29000,Medical Assistant,Medicine,"Tampa, FL",https://www.refinery29.com/money-diary-tampa-medical-assistant-salary
145,70000,Digital Marketer,Tech,New York City,https://www.refinery29.com/money-diary-new-york-digital-marketer-salary
146,52000,Luxury Travel Manager,Hospitality,Connecticut,https://www.refinery29.com/money-diary-connecticut-luxury-travel-manager-salary
147,13500,Graduate Assistant,Academia,"Philadelphia, PA",https://www.refinery29.com/money-diary-philadelphia-pa-graduate-assistant-salary
148,35000,Executive Recruiter,"Healthcare, Digital Media, Finance","Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-executive-recruiter-salary
149,114000,Financial Planner,Financial Services,Wisconsin,https://www.refinery29.com/money-diary-wisconsin-financial-planner-salary
150,56687,School Counselor,Education,"Washington, D.C.",https://www.refinery29.com/money-diary-washington-dc-school-counselor-salary
151,83000,Project Controller,Finance,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-project-controller-salary
152,165500,Senior Accountant,Tech,"Charlotte, NC",https://www.refinery29.com/money-diary-charlotte-nc-senior-accountant-salary
153,55000,Associate Producer,Journalism & Media,New York City,https://www.refinery29.com/money-diary-new-york-city-associate-producer-salary
154,84000,Data Analyst,Software,"Atlanta, GA",https://www.refinery29.com/money-diary-atlanta-ga-data-analyst-salary
155,61000,Registered Nurse,Healthcare,"Roseville, CA",https://www.refinery29.com/money-diary-roseville-ca-registered-nurse-salary
156,65000,Copywriter,Advertising,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-copywriter-salary
157,267000,,,"Mound House, NV",https://www.refinery29.com/money-diary-nevada-legal-sex-worker-salary
158,35000,Copywriter,IT Services,"Jacksonville, FL",https://www.refinery29.com/money-diary-jacksonville-fl-copywriter-salary
159,30000,R&D Food Technician,Food & Beverage,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-rd-food-technician
160,115000,Innovation Strategist,Financial Services,"Long Island City, NY",https://www.refinery29.com/money-diary-long-island-city-ny-innovation-strategist-salary
161,21000,Graduate Program Administrative Assistant,Academia,"Nashville, TN",https://www.refinery29.com/money-diary-nashville-graduate-program-administrative-assistant-salary
162,52500,Project Manager,Science/Biotech,"Oakland, CA",https://www.refinery29.com/money-diary-oakland-ca-project-manager-salary
163,132600,Marketing Manager,Telecom,New  York City,https://www.refinery29.com/money-diary-new-york-ny-marketing-manager-salary
164,11000,Full-Time Student & Server,Restaurant,"Atlanta, GA",https://www.refinery29.com/money-diary-atlanta-ga-full-time-student-server-salary
165,59400,College Guidance Counselor,Education,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-couple-college-guidance-counselor-accountant-salaries
166,35000,Research Assistant,Healthcare,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-research-assistant-salary
167,35000,Public Affairs Specialist,Government,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-public-affairs-specialist-salary
168,100000,Manager,Law,New York City,https://www.refinery29.com/money-diary-new-york-ny-paralegal-manager-salary
169,190000,"Manager, Competitive Marketing Strategy",Telecom,"Philadelphia, PA",https://www.refinery29.com/money-diary-philadelphia-manager-competitive-marketing-strategy-salary
170,125000,Senior Relationship Manager,Real Estate Finance,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-ca-senior-relationship-manager-salary
171,87200,Administrator/Executive Assistant,Tech & Semi-Conductor Facility,"Austin, TX",https://www.refinery29.com/money-diary-austin-tx-administrator-executive-assistant-salary
172,57800,Account Manager,Insurance,"Denver, CO",https://www.refinery29.com/money-diary-denver-co-account-manager-salary
173,50000,Account Manager,Software,"New Haven, CT",https://www.refinery29.com/money-diary-new-haven-ct-account-manager-salary
174,92700,Technology Consultant,IT,"Berkeley, CA",https://www.refinery29.com/money-diary-berkeley-ca-technology-consultant-salary
175,47000,Marketing Specialist,Finance,"Houston, TX",https://www.refinery29.com/money-diary-houston-tx-marketing-specialist-salary
176,62000,Creative Director,Tech,"Baltimore, MD",https://www.refinery29.com/money-diary-baltimore-creative-director-salary
177,40000,Film Distributor,Film,New York City,https://www.refinery29.com/money-diary-new-york-city-film-distributor-salary
178,100000,HR Manager,Tech,"Brooklyn, NY",https://www.refinery29.com/money-diary-new-york-hr-manager-salary
179,32000,Writer,Journalism,New York City,https://www.refinery29.com/money-diary-new-york-ny-writer-salary
180,106000,Senior Program Manager,Telecom,"Philadelphia, PA",https://www.refinery29.com/money-diary-philadelphia-senior-program-manager-salary
181,1250,Executive Director,Finance,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-executive-director-salary
182,62000,Specialist,Cosmetics,"New York, NY",https://www.refinery29.com/money-diary-new-york-ny-specialist-salary
183,360000,Vitreo-retinal Surgeon,Healthcare & Medicine,Texas,https://www.refinery29.com/money-diary-texas-vitreo-retinal-surgeon-salary
184,129000,Architect,Architecture & Design,"Santa Barbara, CA",https://www.refinery29.com/money-diary-santa-barbara-ca-architect-salary
185,210000,Attorney,Healthcare,"Philadelphia, PA",https://www.refinery29.com/money-diary-philadelphia-pa-attorney-salary
186,192000,People Manager,Tech,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-people-manager-joint-salary
187,46000,Food Editor,Restaurants,"Miami, FL",https://www.refinery29.com/money-diary-miami-food-editor-salary
188,93000,Technical Writer,Tech,"San Jose, CA",https://www.refinery29.com/money-diary-san-jose-ca-content-manager-salary
189,65000,Dual-language Classroom Teacher,Education,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-dual-language-classroom-teacher-salary
190,90000,Consultant,Defense,"Honolulu, HI",https://www.refinery29.com/money-diary-honolulu-hi-consultant-salary
191,38000,Receptionist,Retail Customer Service,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-receptionist-salary
192,95000,Sales Director,Tech,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-sales-director-salary
193,75000,Marketing Manager,Nonprofit,"Washington, D.C.",https://www.refinery29.com/money-diary-washington-dc-marketing-manager-salary
194,53000,Behavioral Health Counselor,Healthcare,"Anchorage, Alaska",https://www.refinery29.com/money-diary-anchorage-alaska-behavioral-health-counselor-salary
195,18000,Hostess and au pair,Restaurant,"Berkeley, CA",https://www.refinery29.com/money-diary-berkeley-ca-hostess-au-pair-salary
196,90000,Analyst,Financial Services,NYC,https://www.refinery29.com/money-diary-new-york-ny-analyst-budget-1491242753021
197,50000,Auditor,Accounting,Salt Lake City,https://www.refinery29.com/money-diary-salt-lake-city-auditor-salary
198,0,Medical Student. I just graduated and am studying for the medical boards.,Integrative Healthcare (Acupuncture),"Hollywood Hills, Los Angeles",https://www.refinery29.com/money-diary-hollywood-hills-los-angeles-medical-student-salary
199,32520,Cosmetologist,Beauty,Upstate New York,https://www.refinery29.com/money-diary-upstate-new-york-cosmetologist-salary
200,39500,,,Brooklyn,https://www.refinery29.com/money-diary-brooklyn-publicity-associate-budge
201,25668,"Events, Partnerships and Promotion Coordinator",Fashion,Paris,https://www.refinery29.com/money-diary-events-coordinator-paris-budget
202,82500,,Finance,NYC,https://www.refinery29.com/money-diary-nyc-accountant-budget
203,40000,Customer Success Specialist,Health IT,"Plano, TX",https://www.refinery29.com/money-diary-plano-texas-customer-specialist-budget
204,55000,,Public Health,Brooklyn,https://www.refinery29.com/money-diary-brooklyn-researcher-budget
205,73000,,"Government, plus a side job at a restaurant","Juneau, Alaska",https://www.refinery29.com/money-diary-juneau-alaska-administration-officer-server-budget
206,85000,,Art,"New York, NY",https://www.refinery29.com/money-diary-new-york-ny-art-collection-manager-budget
207,60000,,Tech,San Francisco,https://www.refinery29.com/money-diary-san-francisco-events-manager-budget
208,52000,,Fashion,Los Angeles,https://www.refinery29.com/money-diary-los-angeles-copywriter-budget
209,40000,,Digital Marketing,Chicago,https://www.refinery29.com/money-diary-chicago-digital-marketing-manager-budget
210,34000,Production Assistant,Film/TV,Brooklyn,https://www.refinery29.com/money-diary-brooklyn-production-assistant-budget
211,68000,Web Analyst,Advertising,Dallas,https://www.refinery29.com/money-diary-dallas-tx-web-analyst-budget
212,50000,Content Editor,Information Services,NYC,https://www.refinery29.com/money-diary-lower-east-side-content-editor-budget
213,57720,Geophysicist,DOE contractor,Santa Fe,https://www.refinery29.com/money-diary-santa-fe-new-mexico-geophysicist-budget
214,230000,Vice President,Finance,NYC,https://www.refinery29.com/money-diary-new-york-ny-vice-president-budget
215,35000,Editor,Environmental Consulting,"Austin, TX",https://www.refinery29.com/money-diary-austin-texas-editor-budget
216,43000,Financial Coordinator,Medical,NYC,https://www.refinery29.com/money-diary-nyc-financial-coordinator-budget
217,42639,Social media and marketing manager,Fitness Tech,Berlin,https://www.refinery29.com/money-diary-berlin-social-media-marketing-manager-budget
218,56000,Biomedical Research Analyst,Biomedical Research,Los Angeles,https://www.refinery29.com/money-diary-los-angeles-biomedical-research-analyst-budget
219,11,Student and PR Intern,Fashion,"Flushing, Queens",https://www.refinery29.com/money-diary-flushing-queens-new-york-student-pr-intern-budget
220,138000,Attorney,Government,Miami,https://www.refinery29.com/money-diary-miami-fl-attorney-budget
221,75000,,Technology,NYC,https://www.refinery29.com/money-diary-nyc-hr-budget
222,74000,,Government Contracting/Human Services,"Washington, D.C.",https://www.refinery29.com/money-diary-washington-dc-womens-march-budget
223,50000,,Advertising,Brooklyn,https://www.refinery29.com/money-diary-brooklyn-research-analyst-budget
224,20,,Non-profit,"Boulder, Colorado",https://www.refinery29.com/money-diary-non-profit-attorney-colorado-budget
225,48000,Librarian Faculty,Education,"Charleston, SC",https://www.refinery29.com/money-diary-charleston-sc-librarian-faculty-budget
226,60000,Executive Assistant,Real Estate,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-executive-assistant-budget
227,80000,Project Manager,Restaurants,The Midwest,https://www.refinery29.com/money-diary-midwest-city-project-manager-budget
